"","head [cm]","age [years]"
"1365",46.8,1.18
"1366",47.4,1.19
"1367",46,1.19
"1368",49,1.19
"1369",45.5,1.19
"1370",47.5,1.19
"1371",46.2,1.19
"1372",49.9,1.19
"1373",48.3,1.19
"1374",49,1.19
"1375",46.4,1.19
"1376",47,1.19
"1377",46.2,1.19
"1378",47.6,1.19
"1380",45.1,1.19
"1381",49,1.19
"1382",48.3,1.19
"1383",48.5,1.19
"1384",47,1.19
"1385",48.9,1.2
"1387",49,1.2
"1388",47.6,1.2
"1389",49.7,1.2
"1390",47,1.2
"1391",46.2,1.2
"1392",48.2,1.2
"1393",47.2,1.2
"1394",48.4,1.2
"1395",49,1.2
"1396",50,1.2
"1397",49,1.2
"1398",46.6,1.2
"1399",49,1.21
"1400",47,1.21
"1401",45.5,1.21
"1402",48.2,1.21
"1403",43.3,1.21
"1404",48.8,1.21
"1405",48.5,1.21
"1406",49.2,1.21
"1407",47.6,1.21
"1408",48.5,1.21
"1410",48.2,1.21
"1411",48,1.21
"1412",47,1.21
"1413",49.8,1.21
"1414",49.3,1.21
"1415",48.1,1.21
"1416",48.1,1.21
"1417",47.3,1.21
"1418",47.8,1.21
"1419",48.3,1.22
"1420",47.8,1.22
"1421",49.5,1.22
"1422",45.1,1.22
"1423",47,1.22
"1424",48.5,1.22
"1425",47.8,1.22
"1427",51,1.22
"1428",49.9,1.22
"1429",48.6,1.22
"1430",45.5,1.22
"1431",50.4,1.22
"1432",48.5,1.22
"1433",46.5,1.22
"1434",47.5,1.22
"1435",44.9,1.22
"1436",47,1.22
"1437",47.5,1.23
"1438",47,1.23
"1439",48.5,1.23
"1440",46.5,1.23
"1441",48,1.23
"1442",47,1.23
"1443",48,1.23
"1444",45.6,1.23
"1445",47,1.23
"1446",46.4,1.23
"1447",47,1.23
"1448",48,1.23
"1449",47,1.24
"1450",46.5,1.24
"1451",47.3,1.24
"1452",49.8,1.24
"1453",49,1.24
"1454",45.9,1.24
"1455",47.5,1.24
"1456",48.5,1.24
"1457",48.8,1.24
"1458",45.3,1.24
"1459",46.6,1.24
"1460",48,1.24
"1461",49,1.24
"1462",49,1.24
"1463",46.6,1.24
"1464",48.8,1.24
"1465",49,1.24
"1466",47.5,1.24
"1467",45.5,1.25
"1468",48.2,1.25
"1469",49,1.25
"1470",47.6,1.25
"1471",49.3,1.25
"1472",47.5,1.25
"1473",48.3,1.25
"1474",49,1.25
"1475",49.6,1.25
"1476",48.2,1.25
"1477",48,1.25
"1478",47.3,1.25
"1479",48,1.25
"1480",46.7,1.25
"1481",48.2,1.25
"1482",50.5,1.25
"1483",50.9,1.25
"1484",47,1.26
"1485",48.5,1.26
"1486",49.6,1.26
"1487",47.8,1.26
"1488",47.2,1.26
"1489",49.2,1.26
"1490",50.2,1.26
"1491",50,1.26
"1492",48.8,1.26
"1493",47.5,1.26
"1494",50.7,1.27
"1495",49.4,1.27
"1496",48.5,1.27
"1497",46.5,1.27
"1498",46.9,1.27
"1499",48.5,1.27
"1500",46.6,1.27
"1502",48.1,1.27
"1503",49.5,1.27
"1505",52,1.28
"1506",48,1.28
"1507",48,1.28
"1508",45,1.29
"1509",48,1.29
"1510",50.5,1.29
"1511",47.3,1.29
"1512",50.6,1.29
"1513",48.7,1.29
"1514",46.2,1.29
"1515",50.8,1.29
"1516",47,1.29
"1517",49.9,1.3
"1518",47.2,1.3
"1519",48.7,1.3
"1520",46.4,1.3
"1521",47.5,1.3
"1522",50.5,1.3
"1523",47,1.31
"1524",47.3,1.31
"1525",47.4,1.31
"1526",45.6,1.31
"1527",49,1.31
"1528",47,1.31
"1529",47.4,1.31
"1530",47.2,1.32
"1531",48.4,1.32
"1532",46.6,1.33
"1533",46.9,1.33
"1534",48,1.33
"1535",46,1.33
"1536",46.8,1.33
"1537",46.3,1.33
"1538",48.4,1.34
"1539",47.3,1.34
"1540",48.7,1.34
"1541",44,1.35
"1542",47.5,1.36
"1543",48.3,1.36
"1544",48,1.36
"1545",51.2,1.36
"1546",48.8,1.36
"1547",50.5,1.36
"1548",48.8,1.37
"1549",49.4,1.37
"1550",48,1.37
"1551",47.9,1.37
"1552",46.4,1.37
"1553",48,1.38
"1554",50.5,1.38
"1555",46.5,1.38
"1556",47.3,1.38
"1557",47.7,1.38
"1558",48.5,1.39
"1559",49.5,1.39
"1560",47.1,1.39
"1561",47,1.39
"1562",47.6,1.4
"1563",47.2,1.4
"1564",46,1.4
"1565",48.5,1.4
"1566",40.7,1.41
"1567",49,1.41
"1568",49,1.42
"1569",48,1.42
"1570",49.8,1.42
"1571",47.1,1.42
"1572",49.2,1.42
"1573",49.5,1.42
"1574",46.8,1.42
"1575",47.2,1.42
"1576",48.9,1.43
"1577",42.5,1.43
"1578",49.9,1.43
"1579",46,1.43
"1580",49.8,1.43
"1581",46.9,1.43
"1582",48,1.43
"1584",45.5,1.43
"1585",59.4,1.43
"1586",48,1.44
"1587",50.5,1.44
"1588",47.5,1.44
"1589",48.5,1.45
"1590",44.7,1.45
"1591",49.5,1.45
"1592",49.2,1.45
"1593",49,1.46
"1594",48.1,1.46
"1595",50.2,1.46
"1596",47.3,1.46
"1597",50.1,1.46
"1598",48,1.46
"1599",48.1,1.46
"1600",47.2,1.47
"1601",48.3,1.47
"1602",48.5,1.47
"1603",47,1.47
"1604",48,1.47
"1605",48.3,1.47
"1606",39.2,1.47
"1607",47.2,1.48
"1608",48.9,1.48
"1609",49,1.48
"1610",47.3,1.48
"1611",52.5,1.48
"1612",48.8,1.48
"1613",50.3,1.48
"1614",49.5,1.48
"1615",51,1.48
"1616",47.3,1.48
"1617",47.5,1.48
"1618",47.6,1.48
"1619",49,1.48
"1620",48,1.49
"1621",46.9,1.49
"1622",47,1.49
"1623",48.2,1.49
"1624",47.5,1.49
"1625",46,1.49
"1626",50.3,1.49
"1627",48,1.49
"1628",47.9,1.49
"1629",47,1.49
"1630",48.6,1.49
"1631",48.8,1.49
"1632",47,1.49
"1633",45,1.5
"1634",48,1.5
"1635",48.8,1.5
"1637",49,1.5
"1638",48.3,1.5
"1639",50.5,1.5
"1640",47.2,1.5
"1641",49.2,1.5
"1642",49.5,1.5
"1643",50.1,1.5
"1644",47,1.5
"1645",48,1.5
"1646",50.2,1.5
"1647",49.5,1.5
"1648",48.6,1.5
"1649",46.8,1.51
"1650",48.8,1.51
"1651",56,1.51
"1652",47.5,1.51
"1653",49.7,1.51
"1654",47,1.51
"1655",48.5,1.51
"1656",48,1.51
"1657",49.1,1.51
"1658",50,1.51
"1659",47.8,1.51
"1660",48,1.51
"1661",50,1.51
"1662",51.8,1.51
"1663",49.5,1.51
"1664",47,1.51
"1665",50.5,1.51
"1666",49.2,1.52
"1667",49,1.52
"1668",48.7,1.52
"1669",45.9,1.52
"1670",49.9,1.52
"1671",47.8,1.52
"1672",49.6,1.52
"1673",49.2,1.52
"1674",49.6,1.52
"1675",50,1.52
"1676",48.5,1.52
"1677",48.1,1.52
"1678",49.1,1.52
"1679",46.5,1.52
"1680",46.9,1.52
"1681",50.7,1.53
"1682",47.2,1.53
"1683",45.9,1.53
"1684",46.1,1.53
"1685",49,1.53
"1686",47,1.53
"1687",47.7,1.53
"1688",48.9,1.53
"1689",50,1.53
"1690",46.1,1.53
"1691",57.2,1.53
"1692",49.9,1.53
"1693",50,1.53
"1694",49.1,1.53
"1695",47.7,1.53
"1696",49.6,1.53
"1697",48,1.54
"1698",49.9,1.54
"1699",48,1.54
"1700",48.8,1.54
"1701",48.5,1.54
"1702",48,1.55
"1703",49,1.55
"1704",48.5,1.55
"1705",46.5,1.55
"1706",48,1.55
"1707",50,1.55
"1708",49.4,1.55
"1709",46,1.55
"1710",50,1.55
"1711",47.5,1.55
"1712",48.5,1.55
"1713",48.2,1.55
"1714",48,1.55
"1715",47,1.55
"1716",48,1.56
"1717",48.8,1.56
"1718",48.7,1.56
"1719",48.2,1.56
"1720",49.2,1.56
"1721",50,1.56
"1722",48,1.57
"1723",49.6,1.57
"1724",50.6,1.57
"1725",50.7,1.57
"1726",48.1,1.57
"1727",49.8,1.57
"1728",47,1.57
"1729",47.8,1.57
"1730",49,1.58
"1731",50.7,1.58
"1732",46.3,1.58
"1733",49.8,1.58
"1734",47.5,1.58
"1735",49.8,1.58
"1736",47.5,1.58
"1737",48.6,1.58
"1738",48,1.58
"1739",48,1.59
"1740",48.5,1.59
"1741",49.9,1.59
"1742",50.2,1.59
"1743",48.5,1.59
"1744",53.3,1.59
"1745",46.9,1.59
"1746",51.1,1.59
"1747",48.2,1.59
"1748",49.8,1.59
"1749",48,1.59
"1750",48,1.59
"1751",49.8,1.6
"1752",49,1.6
"1753",45.3,1.6
"1754",49,1.6
"1755",46.3,1.6
"1756",49.2,1.6
"1757",50.8,1.6
"1758",46.8,1.6
"1759",49,1.61
"1760",48,1.61
"1761",46.4,1.61
"1762",47.2,1.61
"1763",46,1.61
"1764",49.3,1.61
"1765",50.1,1.62
"1766",49.4,1.62
"1767",47.5,1.63
"1768",49.2,1.63
"1769",49.3,1.63
"1770",45.8,1.63
"1771",50.1,1.64
"1772",49.2,1.64
"1773",46.1,1.64
"1774",49,1.64
"1776",49.8,1.65
"1777",47.2,1.65
"1778",49.8,1.65
"1779",46.8,1.66
"1780",51,1.66
"1781",49.9,1.66
"1782",48.8,1.66
"1783",49.2,1.66
"1784",47.7,1.66
"1785",49.5,1.66
"1786",49,1.66
"1787",51.8,1.67
"1788",47.3,1.67
"1789",46.3,1.67
"1790",47.9,1.67
"1791",49,1.67
"1792",47.2,1.68
"1793",48.9,1.68
"1794",49.2,1.68
"1795",45.9,1.68
"1796",50,1.69
"1797",47,1.69
"1798",50.2,1.69
"1799",48.7,1.69
"1800",50,1.69
"1801",47.8,1.69
"1802",48.7,1.69
"1803",47,1.69
"1804",50,1.69
"1805",48.1,1.7
"1806",49.6,1.7
"1807",50.8,1.7
"1808",50,1.7
"1809",48.3,1.71
"1810",48.3,1.71
"1811",49.1,1.71
"1812",48.4,1.71
"1813",51.2,1.71
"1814",47.1,1.71
"1817",46.1,1.72
"1818",49.6,1.72
"1819",46.6,1.72
"1820",51.6,1.72
"1821",50,1.73
"1822",50.8,1.73
"1823",49,1.73
"1824",47.3,1.73
"1825",50,1.74
"1826",50.8,1.74
"1827",50.8,1.74
"1829",49.9,1.74
"1830",50.2,1.74
"1831",46.5,1.74
"1832",49.1,1.74
"1833",51.1,1.75
"1834",48.5,1.75
"1835",49,1.75
"1837",51,1.75
"1838",49.6,1.75
"1839",47.1,1.75
"1840",47,1.75
"1841",49.5,1.75
"1843",51,1.75
"1844",51.1,1.75
"1845",46.5,1.75
"1847",50.3,1.76
"1848",47,1.76
"1849",49,1.76
"1850",48,1.76
"1851",47.8,1.76
"1852",49.5,1.76
"1855",47.5,1.76
"1856",47,1.76
"1857",46.1,1.76
"1858",49.4,1.76
"1859",49,1.77
"1861",49,1.77
"1862",50.5,1.78
"1863",47.5,1.78
"1864",48.9,1.78
"1865",49,1.78
"1866",49.9,1.78
"1867",48.6,1.78
"1868",50.1,1.78
"1869",51.1,1.78
"1870",50.4,1.78
"1871",49.3,1.78
"1873",47.1,1.78
"1874",52,1.79
"1875",50.6,1.79
"1876",51.2,1.79
"1877",47,1.79
"1878",51.6,1.79
"1879",48,1.79
"1881",50.5,1.8
"1882",46.7,1.8
"1883",46.5,1.8
"1884",49.8,1.8
"1885",49.5,1.8
"1887",49,1.8
"1888",48.9,1.8
"1889",49.8,1.81
"1890",47.7,1.81
"1891",47.4,1.81
"1893",47.8,1.81
"1894",49.4,1.82
"1895",51.5,1.82
"1896",48.5,1.82
"1897",51.5,1.82
"1898",50.5,1.82
"1899",50.2,1.82
"1900",48.8,1.82
"1901",49.2,1.83
"1902",48.1,1.83
"1903",46.5,1.83
"1904",49.4,1.83
"1905",47,1.83
"1906",48.8,1.83
"1907",49.5,1.83
"1908",50.5,1.84
"1909",50.8,1.84
"1910",51,1.84
"1911",40.7,1.84
"1912",49.7,1.84
"1913",46,1.84
"1914",47.3,1.84
"1915",53,1.84
"1916",49.3,1.84
"1917",50,1.84
"1918",49,1.84
"1919",48.5,1.84
"1920",51,1.84
"1921",48.9,1.84
"1922",47.5,1.84
"1923",47.2,1.84
"1924",48,1.85
"1925",49,1.85
"1926",48.8,1.85
"1927",50,1.85
"1928",49,1.85
"1929",48.5,1.85
"1930",46.8,1.85
"1931",48,1.85
"1932",51.5,1.85
"1933",50.7,1.86
"1934",48.3,1.86
"1936",48.5,1.86
"1937",51.5,1.86
"1938",49.4,1.87
"1939",50.4,1.87
"1940",49.3,1.87
"1941",46.7,1.87
"1942",48.1,1.87
"1943",48.4,1.87
"1944",52,1.87
"1945",47,1.87
"1946",49.3,1.87
"1947",49.5,1.88
"1948",43.4,1.88
"1949",47,1.88
"1950",50,1.88
"1951",49.5,1.88
"1952",51,1.88
"1953",50,1.89
"1954",49,1.89
"1955",48,1.89
"1956",50,1.89
"1957",54,1.89
"1958",47.7,1.89
"1959",51.1,1.89
"1960",47.8,1.89
"1961",51,1.89
"1962",48.2,1.89
"1963",49,1.9
"1964",46.3,1.9
"1965",48.5,1.91
"1966",50,1.91
"1967",49.5,1.91
"1969",50.2,1.91
"1970",49,1.91
"1972",48.8,1.92
"1973",47.2,1.92
"1974",49.4,1.92
"1975",49,1.93
"1977",50.1,1.94
"1978",51.5,1.94
"1980",50,1.94
"1981",49,1.94
"1982",49.2,1.94
"1983",50.5,1.94
"1984",50,1.94
"1985",48,1.95
"1986",47,1.95
"1987",49.5,1.95
"1988",50.5,1.95
"1989",50,1.96
"1990",50,1.96
"1991",49.7,1.96
"1992",48.3,1.96
"1993",48.2,1.96
"1994",48.3,1.97
"1995",49.5,1.97
"1996",45.5,1.97
"1997",50.5,1.97
"1998",49,1.97
"1999",50.5,1.97
"2000",48.9,1.97
"2001",50.1,1.98
"2002",48.8,1.98
"2003",49.1,1.98
"2004",48,1.98
"2006",46.5,1.98
"2007",50.5,1.98
"2008",49.5,1.98
"2009",49.1,1.98
"2010",49.6,1.98
"2011",47.1,1.98
"2012",49.8,1.98
"2013",50.3,1.98
"2014",49,1.98
"2015",49,1.99
"2016",49.2,1.99
"2017",46.1,1.99
"2018",48.7,1.99
"2019",49,1.99
"2020",49.3,1.99
"2021",50,2
"2022",50,2
"2023",48,2
"2024",50.5,2
"2025",51.5,2
"2026",50,2
"2027",49.6,2
"2028",48.3,2
"2029",51.1,2
"2030",49.1,2.01
"2031",49,2.01
"2032",50.1,2.01
"2033",47.8,2.01
"2034",48.3,2.01
"2035",49.4,2.01
"2036",51,2.01
"2037",50.5,2.01
"2038",51.5,2.01
"2039",48.1,2.01
"2040",48.5,2.01
"2041",48.5,2.02
"2042",50,2.02
"2043",49,2.02
"2044",50,2.02
"2045",50,2.02
"2046",50.5,2.02
"2047",50.2,2.02
"2048",48.8,2.03
"2049",53,2.03
"2051",48.5,2.03
"2052",49.5,2.03
"2053",51.5,2.03
"2054",50.1,2.03
"2055",48.7,2.03
"2056",46.2,2.03
"2057",49,2.03
"2058",49.5,2.03
"2059",52.8,2.03
"2060",49,2.04
"2061",50.2,2.04
"2062",49.2,2.04
"2063",47.8,2.04
"2064",48.5,2.04
"2065",49,2.04
"2066",49,2.04
"2067",48.6,2.04
"2068",49,2.04
"2069",48.7,2.04
"2070",48.1,2.04
"2071",49.3,2.04
"2072",49.5,2.04
"2073",51,2.05
"2074",50,2.05
"2075",49.5,2.05
"2076",46.3,2.05
"2077",47,2.06
"2078",46.7,2.06
"2079",49.5,2.06
"2080",48.9,2.06
"2081",47.9,2.06
"2082",49,2.06
"2083",43.5,2.06
"2084",50.4,2.06
"2085",46,2.06
"2086",47.5,2.06
"2087",49.8,2.06
"2088",50.3,2.07
"2089",49,2.07
"2090",49.6,2.07
"2091",47.7,2.07
"2092",49.3,2.07
"2093",48.1,2.07
"2094",48.6,2.07
"2095",46.7,2.07
"2096",48,2.08
"2097",49.3,2.08
"2098",49,2.08
"2099",50,2.08
"2100",50.8,2.08
"2101",52,2.08
"2102",49.7,2.08
"2103",50,2.09
"2104",48.5,2.09
"2105",48.7,2.09
"2106",50.2,2.1
"2107",47.5,2.1
"2108",50.5,2.1
"2109",46.8,2.11
"2111",45,2.11
"2112",53.5,2.11
"2113",49.8,2.11
"2114",50.5,2.12
"2115",51.2,2.12
"2116",51,2.12
"2117",51.2,2.12
"2118",52.5,2.12
"2119",49,2.12
"2120",48.3,2.12
"2121",50.9,2.13
"2122",49.1,2.13
"2123",50.6,2.13
"2124",50.4,2.13
"2125",49.5,2.13
"2126",49,2.13
"2127",44.4,2.13
"2128",49.5,2.13
"2129",50,2.14
"2130",49,2.14
"2131",51,2.14
"2132",51.8,2.14
"2133",51.6,2.15
"2134",44.8,2.15
"2135",47.7,2.15
"2136",44.7,2.15
"2137",48.5,2.15
"2138",48.6,2.16
"2139",47.6,2.16
"2140",49,2.16
"2141",53.6,2.16
"2142",50,2.17
"2143",47.3,2.17
"2144",48.6,2.17
"2145",50,2.17
"2146",49.9,2.17
"2147",51.5,2.17
"2148",51.1,2.17
"2149",52.1,2.17
"2150",49.9,2.18
"2151",47.7,2.18
"2152",49,2.18
"2153",51.3,2.18
"2154",51.1,2.18
"2155",48,2.18
"2156",50,2.18
"2158",50,2.19
"2159",51,2.19
"2160",48.6,2.19
"2161",49.4,2.19
"2162",48.7,2.19
"2163",49.8,2.19
"2164",49.8,2.19
"2165",49.5,2.19
"2166",51.5,2.19
"2167",44.5,2.19
"2168",51,2.2
"2169",53.6,2.2
"2170",44,2.21
"2171",49.9,2.21
"2172",50.1,2.21
"2173",47.3,2.21
"2174",48.1,2.21
"2175",52,2.21
"2177",48.8,2.22
"2178",45.1,2.22
"2179",52.2,2.23
"2180",47.6,2.23
"2181",52.2,2.25
"2182",49,2.25
"2183",50.5,2.25
"2184",49.2,2.25
"2185",51.2,2.26
"2186",51.4,2.26
"2187",50,2.27
"2188",51,2.27
"2189",50,2.27
"2190",48,2.28
"2191",49.7,2.29
"2192",44.2,2.29
"2193",48.5,2.3
"2194",49,2.3
"2195",47,2.31
"2196",51.4,2.32
"2197",51.1,2.33
"2198",47.5,2.33
"2199",50.1,2.33
"2200",51,2.33
"2201",46.8,2.33
"2202",49.6,2.34
"2203",50.7,2.34
"2204",50,2.34
"2205",51.2,2.35
"2206",51.2,2.35
"2207",46.8,2.35
"2208",50.5,2.36
"2209",53.1,2.36
"2210",51.3,2.36
"2211",47.1,2.36
"2212",51.4,2.37
"2213",48,2.37
"2214",52.3,2.37
"2215",50.7,2.37
"2216",51.2,2.38
"2217",48.4,2.38
"2218",53.7,2.38
"2219",48.5,2.38
"2220",49.9,2.38
"2221",52.8,2.38
"2222",52.2,2.39
"2223",49.3,2.39
"2224",46.2,2.4
"2225",49.2,2.4
"2227",49.9,2.41
"2229",50.8,2.41
"2230",49.8,2.42
"2231",52,2.43
"2232",49,2.44
"2233",49.9,2.44
"2234",48.5,2.44
"2235",48.7,2.44
"2236",50.5,2.44
"2237",51,2.45
"2238",53.6,2.45
"2239",49.4,2.45
"2240",51.8,2.45
"2241",51.5,2.45
"2242",50,2.46
"2243",49,2.46
"2244",50,2.46
"2245",49.9,2.46
"2247",50.3,2.46
"2248",49.9,2.46
"2249",51,2.46
"2250",52.8,2.47
"2251",48.7,2.47
"2253",49.8,2.47
"2254",50.5,2.47
"2255",51.5,2.48
"2256",49.4,2.48
"2257",50.8,2.48
"2258",50,2.48
"2259",48.5,2.48
"2260",52.5,2.48
"2261",50.4,2.48
"2262",49.5,2.48
"2263",48.4,2.48
"2264",49,2.49
"2265",51.5,2.49
"2266",50.1,2.49
"2267",49.9,2.49
"2268",52,2.49
"2269",48.8,2.49
"2270",49.4,2.49
"2271",51.5,2.49
"2272",49.5,2.49
"2273",52.2,2.5
"2274",50.3,2.5
"2275",51.1,2.5
"2276",49.2,2.5
"2277",49.7,2.5
"2278",49.1,2.5
"2279",49.3,2.5
"2280",52.2,2.51
"2281",48.1,2.51
"2282",51.3,2.52
"2283",49.8,2.52
"2284",48.8,2.52
"2286",52,2.52
"2287",49,2.52
"2288",52.8,2.52
"2289",53.2,2.52
"2290",46,2.52
"2291",50.5,2.53
"2292",53,2.53
"2293",51.3,2.53
"2294",51.2,2.53
"2295",51,2.53
"2296",45.4,2.53
"2297",52,2.54
"2298",50.5,2.54
"2299",46.5,2.54
"2300",48.5,2.54
"2301",51,2.54
"2303",50.6,2.55
"2305",50.5,2.55
"2306",51.4,2.56
"2307",47.5,2.56
"2308",50.5,2.56
"2309",48.5,2.57
"2310",51.5,2.57
"2311",51.7,2.57
"2312",50.2,2.57
"2313",49.5,2.58
"2314",49.2,2.58
"2315",51.5,2.58
"2316",50.5,2.58
"2317",50,2.58
"2318",51.3,2.58
"2319",50.8,2.58
"2322",48.5,2.59
"2323",46.4,2.59
"2325",48.8,2.6
"2326",49.8,2.6
"2327",50,2.6
"2328",49,2.6
"2329",50.9,2.6
"2330",51.5,2.61
"2331",51,2.61
"2332",50.3,2.61
"2333",51.5,2.62
"2334",50.5,2.62
"2335",51.7,2.62
"2336",53.4,2.62
"2337",52,2.62
"2338",53,2.63
"2339",50,2.63
"2341",50.8,2.63
"2342",51.3,2.63
"2343",51.2,2.64
"2344",50.9,2.64
"2345",51.3,2.64
"2346",50.6,2.65
"2347",49.3,2.65
"2348",49.6,2.65
"2349",51,2.65
"2350",51,2.66
"2351",51.5,2.66
"2352",52,2.66
"2353",51.7,2.66
"2354",53.5,2.67
"2355",51.6,2.67
"2356",50.3,2.68
"2357",50,2.69
"2358",51.3,2.69
"2359",51,2.69
"2360",50,2.7
"2361",51,2.7
"2362",50.4,2.71
"2363",50.5,2.71
"2364",48.8,2.71
"2365",53,2.71
"2366",51,2.71
"2367",49.4,2.72
"2368",52,2.72
"2369",51,2.72
"2370",51,2.72
"2371",50.5,2.73
"2372",51,2.73
"2373",49.7,2.73
"2374",51.5,2.73
"2375",50.1,2.73
"2376",50.2,2.73
"2377",48.8,2.74
"2378",50,2.74
"2379",48.1,2.74
"2380",51.5,2.74
"2381",47.3,2.74
"2382",49,2.75
"2383",52.5,2.76
"2384",50.1,2.76
"2385",51.5,2.76
"2386",50.1,2.77
"2387",49.4,2.77
"2388",51.6,2.77
"2389",51.5,2.77
"2390",49.2,2.77
"2391",52.4,2.78
"2392",50.4,2.78
"2393",47.5,2.78
"2394",49.4,2.78
"2395",51.5,2.8
"2396",49.8,2.8
"2397",50.2,2.8
"2398",46.1,2.8
"2399",50.5,2.8
"2400",46.7,2.81
"2401",51.2,2.81
"2402",50.5,2.81
"2403",49.8,2.82
"2404",51.2,2.82
"2405",51.2,2.82
"2406",53,2.83
"2407",52.1,2.83
"2408",50.5,2.83
"2409",53.1,2.83
"2410",51.8,2.84
"2411",48.9,2.84
"2412",54.1,2.86
"2413",52.1,2.86
"2414",50,2.87
"2415",52.1,2.87
"2416",47.1,2.87
"2417",50.7,2.87
"2418",49.8,2.87
"2419",49.5,2.87
"2420",53,2.88
"2421",50.2,2.88
"2422",48.1,2.88
"2423",49,2.88
"2424",48.8,2.88
"2425",49,2.89
"2426",50.4,2.89
"2427",49,2.89
"2428",48.4,2.9
"2429",50.5,2.9
"2430",47.4,2.9
"2431",52,2.9
"2432",50,2.9
"2433",49.5,2.91
"2434",51.4,2.91
"2435",49,2.91
"2436",46.2,2.91
"2437",48.2,2.91
"2438",50.5,2.92
"2439",49.6,2.92
"2440",49.5,2.92
"2441",51,2.92
"2442",54.2,2.92
"2443",51.1,2.92
"2444",52,2.93
"2445",48.6,2.93
"2446",48.8,2.93
"2447",49.1,2.93
"2448",51.2,2.93
"2449",48,2.93
"2450",53.2,2.93
"2451",50,2.93
"2452",52,2.94
"2453",50.5,2.94
"2454",52,2.94
"2455",49.1,2.94
"2456",47.1,2.95
"2458",51.8,2.96
"2459",54.5,2.96
"2460",49.3,2.97
"2461",50,2.97
"2462",53.5,2.97
"2463",51,2.97
"2464",50.3,2.97
"2465",50.5,2.97
"2466",49.4,2.97
"2467",50,2.97
"2468",48.8,2.97
"2469",47.7,2.98
"2470",48.2,2.98
"2471",52,2.98
"2472",50.1,2.98
"2473",50.8,2.98
"2474",49.3,2.98
"2475",49.6,2.98
"2476",50.2,2.98
"2477",49,2.98
"2478",49.6,2.98
"2479",52,2.98
"2480",51,2.98
"2481",51.6,2.98
"2482",50.1,2.99
"2483",51.1,2.99
"2484",49.7,2.99
"2485",50.3,2.99
"2486",50.3,2.99
"2487",50.7,3
"2488",49.3,3
"2489",49,3
"2490",49.5,3
"2491",52,3
"2492",49.2,3
"2493",50.5,3.01
"2494",50.1,3.01
"2495",51.5,3.01
"2496",51,3.01
"2497",51.3,3.01
"2498",51.1,3.02
"2499",51.6,3.02
"2500",49.4,3.02
"2501",50.5,3.02
"2502",53.8,3.02
"2503",50.4,3.02
"2504",48.8,3.02
"2505",48,3.02
"2506",51.3,3.02
"2507",51.2,3.02
"2508",50,3.02
"2509",50.4,3.02
"2510",48.8,3.03
"2511",51.5,3.03
"2512",51.6,3.03
"2513",50,3.03
"2514",49.5,3.03
"2515",49,3.04
"2517",51,3.04
"2518",52,3.04
"2519",52,3.04
"2520",52,3.04
"2521",52.7,3.05
"2522",49.3,3.05
"2523",50.4,3.05
"2524",51.4,3.05
"2525",53.4,3.05
"2526",47.5,3.05
"2527",52,3.05
"2528",51.1,3.06
"2529",50.8,3.06
"2530",53.5,3.06
"2531",49.3,3.06
"2532",47.9,3.06
"2533",48.5,3.06
"2534",47.7,3.06
"2535",50.4,3.06
"2536",48.9,3.06
"2537",50.4,3.06
"2538",50,3.07
"2539",50.6,3.07
"2540",51,3.07
"2541",50.2,3.07
"2542",49,3.07
"2543",50.2,3.08
"2544",51,3.08
"2545",49.3,3.08
"2546",52,3.08
"2547",50.1,3.08
"2548",51.8,3.09
"2549",46,3.09
"2550",51.2,3.09
"2551",45.5,3.09
"2552",50.7,3.09
"2553",52.2,3.09
"2554",49.8,3.1
"2555",49.6,3.1
"2556",52,3.1
"2557",48.8,3.1
"2558",53,3.1
"2559",51.2,3.11
"2560",49.3,3.11
"2561",52,3.11
"2562",50.5,3.11
"2563",51,3.11
"2564",51.5,3.12
"2565",49.7,3.12
"2566",50.5,3.12
"2567",49.3,3.12
"2568",51.1,3.12
"2569",54.5,3.12
"2570",47,3.13
"2571",52,3.15
"2572",48,3.15
"2573",50.2,3.15
"2574",49.8,3.15
"2575",50.2,3.15
"2576",52,3.16
"2577",50.5,3.16
"2578",50.2,3.17
"2579",50,3.17
"2580",50,3.17
"2581",54.2,3.17
"2582",51.4,3.18
"2583",50.3,3.18
"2584",50.4,3.19
"2585",49,3.19
"2586",51,3.19
"2587",48.2,3.19
"2588",50.9,3.19
"2589",50.3,3.19
"2590",49.5,3.19
"2591",53.5,3.2
"2592",50,3.2
"2593",49.1,3.2
"2594",53.4,3.21
"2595",50.8,3.21
"2596",49.8,3.22
"2597",53,3.24
"2598",50.5,3.24
"2599",51,3.25
"2600",50.3,3.25
"2601",49.9,3.25
"2602",51,3.25
"2603",48.3,3.25
"2604",51.6,3.26
"2605",50,3.27
"2606",51,3.27
"2607",51,3.27
"2608",50.4,3.29
"2609",53.4,3.3
"2610",50.7,3.31
"2611",52.4,3.31
"2612",51.8,3.31
"2613",52.3,3.32
"2614",51.2,3.34
"2615",52.7,3.34
"2616",51.3,3.34
"2617",50.1,3.36
"2618",50.9,3.37
"2620",50,3.38
"2621",51,3.38
"2622",50.2,3.39
"2623",50.9,3.39
"2624",53.5,3.4
"2625",52,3.41
"2626",52.2,3.41
"2627",52.4,3.41
"2628",50.7,3.41
"2629",52.3,3.41
"2630",50.5,3.42
"2631",51,3.43
"2632",53,3.43
"2633",51,3.44
"2634",50.5,3.48
